id prodotto;id colore;id taglia;Giacenza;EAN13
1039926;1080794;1003369;2;8055161178176
1039926;1080794;1003398;1;8055161178183
1039926;1080794;1003400;2;8055161178190
1039926;1080794;1003402;5;8055161178206
1039926;1080794;1003404;3;8055161178213
1039926;1080794;1003406;4;8055161178220
1039926;1080796;1003369;1;8055161178985
1039926;1080796;1003402;6;8055161179012
1039926;1080796;1003404;1;8055161179029
1039926;1080796;1003406;1;8055161179036
1039924;1081697;1003369;2;8055161210876
1039924;1081697;1003400;5;8055161210890
1039924;1081697;1003404;2;8055161210913
1039924;1081697;1003406;2;8055161210920
1039924;1080790;1003369;1;8055161184139
1039924;1080790;1003398;1;8055161184146
1039924;1080790;1003400;2;8055161184153
1039924;1080790;1003402;2;8055161184160
1039924;1080790;1003404;1;8055161184177
1039924;1080790;1003406;1;8055161184184
1039924;1080789;1003369;3;8055161178398
1039924;1080789;1003400;2;8055161178411
1039924;1080789;1003402;3;8055161178428
1039924;1080789;1003404;1;8055161178435
1039319;1077913;1003369;1;8055161185365
1039319;1077913;1003398;3;8055161185389
1039319;1077913;1003400;6;8055161185402
1039319;1077913;1003402;1;8055161185426
1039319;1077913;1003404;3;8055161185440
1039319;1077913;1003406;1;8055161185464
1039164;1077941;1003400;2;8055161200891
1039164;1077941;1003402;3;8055161200914
1039164;1077938;1003398;1;8055161188977
1039164;1077938;1003402;3;8055161189011
1039164;1077938;1003404;2;8055161189035
1040610;1082150;1003369;1;8055161228901
1040610;1082150;1003398;3;8055161228918
1040610;1082150;1003400;3;8055161228925
1040610;1082150;1003402;3;8055161228932
1040610;1082150;1003404;3;8055161228949
1039410;1079610;1003398;2;8055161179715
1039410;1079610;1003400;2;8055161179722
1039410;1079610;1003402;2;8055161179739
1039410;1079610;1003404;2;8055161179746
1039410;1079617;1003369;1;8055161179630
1039410;1079617;1003398;2;8055161179647
1039410;1079617;1003400;3;8055161179654
1039410;1079617;1003402;3;8055161179661
1039410;1079617;1003404;2;8055161179678
1039410;1079617;1003406;1;8055161179685
1039305;1077792;1003369;2;8055161202352
1039305;1077792;1003398;3;8055161202369
1039305;1077792;1003400;5;8055161202376
1039305;1077792;1003402;5;8055161202383
1039305;1077792;1003404;3;8055161202390
1039305;1077792;1003406;2;8055161202406
1040660;1082292;1003369;1;8055161274670
1040660;1082292;1003400;2;8055161274717
1040660;1082292;1003404;1;8055161274755
1040660;1082292;1003406;1;8055161274779
1040660;1082290;1003369;1;8055161280848
1040660;1082290;1003398;1;8055161280862
1040660;1082290;1003400;2;8055161280886
1040660;1082290;1003402;3;8055161280909
1040660;1082290;1003404;2;8055161280923
1040660;1082290;1003406;1;8055161280947
1040660;1082287;1003369;2;8055161258120
1040660;1082287;1003398;3;8055161258144
1040660;1082287;1003400;5;8055161258168
1040660;1082287;1003401;1;8055161258175
1040660;1082287;1003402;3;8055161258182
1040660;1082287;1003403;1;8055161258199
1040660;1082287;1003404;2;8055161258205
1040660;1082287;1003406;2;8055161258229
1040660;1082289;1003369;2;8055161252708
1040660;1082289;1003398;1;8055161252722
1040660;1082289;1003400;5;8055161252746
1040660;1082289;1003401;1;8055161252753
1040660;1082289;1003402;6;8055161252760
1040660;1082289;1003404;1;8055161252784
1040660;1082289;1003406;2;8055161252807
1040660;1082285;1003398;1;8055161263209
1040660;1082285;1003399;1;8055161263216
1040660;1082285;1003400;2;8055161263223
1040660;1082285;1003401;1;8055161263230
1040660;1082285;1003402;3;8055161263247
1040660;1082285;1003403;1;8055161263254
1040660;1082285;1003406;1;8055161263285
1040660;1082626;1003369;1;8055161255907
1040660;1082626;1003398;1;8055161255921
1040660;1082626;1003399;1;8055161255938
1040660;1082626;1003400;3;8055161255945
1040660;1082626;1003401;1;8055161255952
1040660;1082626;1003406;1;8055161256003
1040663;1082304;1003369;1;8055161296245
