id prodotto;id colore;id taglia;Giacenza;EAN13
1040698;1082458;1003402;3;8055161301321
1040698;1082458;1003404;2;8055161301345
1040805;1082851;1003367;1;8055161428882
1040805;1082851;1003369;1;8055161428899
1040805;1082851;1003398;2;8055161428905
1040805;1082851;1003399;1;8055161428912
1040805;1082851;1003400;3;8055161428929
1040805;1082851;1003401;1;8055161428936
1040805;1082851;1003402;3;8055161428943
1040805;1082851;1003403;1;8055161428950
1040805;1082851;1003404;1;8055161428967
1040805;1082851;1003406;1;8055161428974
1040805;1082854;1003367;1;8055161441140
1040805;1082854;1003369;1;8055161441157
1040805;1082854;1003398;1;8055161441164
1040805;1082854;1003399;1;8055161441171
1040805;1082854;1003400;2;8055161441188
1040805;1082854;1003401;1;8055161441195
1040805;1082854;1003402;2;8055161441201
1040805;1082854;1003404;1;8055161441225
1040805;1082854;1003406;1;8055161441232
1040805;1082852;1003367;1;8055161425027
1040805;1082852;1003398;1;8055161425041
1040805;1082852;1003399;1;8055161425058
1040805;1082852;1003400;2;8055161425065
1040805;1082852;1003401;1;8055161425072
1040805;1082852;1003402;3;8055161425089
1040805;1082852;1003403;1;8055161425096
1040805;1082852;1003404;2;8055161425102
1040807;1082862;1003369;1;8055161434289
1040807;1082862;1003398;1;8055161434296
1040807;1082862;1003400;2;8055161434319
1040807;1082862;1003402;1;8055161434333
1040807;1082862;1003406;1;8055161434364
1040807;1082860;1003369;1;8055161445827
1040807;1082860;1003398;2;8055161445834
1040807;1082860;1003399;1;8055161445841
1040807;1082860;1003400;1;8055161445858
1040807;1082860;1003401;1;8055161445865
1040807;1082860;1003402;2;8055161445872
1040851;1083105;1003369;1;8055161432599
1040851;1083105;1003400;1;8055161432629
1040851;1083105;1003402;2;8055161432643
1040851;1083105;1003404;1;8055161432667
1040851;1083105;1003406;1;8055161432674
1040851;1083106;1003398;1;8055161436382
1040851;1083106;1003399;1;8055161436399
1040851;1083106;1003400;2;8055161436405
1040851;1083106;1003401;1;8055161436412
1040851;1083106;1003402;2;8055161436429
1040851;1083106;1003404;1;8055161436443
1040851;1083106;1003406;1;8055161436450
1040813;1082883;1003367;1;8055161423306
1040813;1082883;1003369;1;8055161423313
1040813;1082883;1003398;2;8055161423320
1040813;1082883;1003399;1;8055161423337
1040813;1082883;1003400;1;8055161423344
1040813;1082883;1003401;1;8055161423351
1040813;1082883;1003402;2;8055161423368
1040813;1082883;1003404;1;8055161423382
1040813;1082883;1003406;1;8055161423399
1040814;1082888;1003367;1;8055161430854
1040814;1082888;1003369;1;8055161430861
1040814;1082888;1003398;1;8055161430878
1040814;1082888;1003399;1;8055161430885
1040814;1082888;1003400;2;8055161430892
1040814;1082888;1003401;1;8055161430908
1040814;1082888;1003402;2;8055161430915
1040814;1082888;1003404;1;8055161430939
1040814;1082888;1003406;1;8055161430946
1040815;1082890;1003367;1;8055161443878
1040815;1082890;1003369;1;8055161443885
1040815;1082890;1003398;2;8055161443892
1040815;1082890;1003399;1;8055161443908
1040815;1082890;1003400;2;8055161443915
1040815;1082890;1003401;1;8055161443922
1040815;1082890;1003402;2;8055161443939
1040815;1082890;1003404;1;8055161443953
1040815;1082890;1003406;1;8055161443960
1040816;1082896;1003401;1;8055161444714
1040816;1082896;1003402;4;8055161444721
1040816;1082896;1003404;1;8055161444745
